,id_stacji,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
id_stacji,1.0,0.1537499401264338,0.06421650184228485,-0.2556519842083832,0.33152878002932934,-0.11890140681078322,-0.1152654631906847,-0.6005969111869225
godzina_pomiaru,0.1537499401264338,1.0,-0.041031815096947394,0.22559118908153364,0.10309298690597667,0.07564478368999016,0.03017332114081438,-0.2575856928135009
temperatura,0.06421650184228485,-0.041031815096947394,1.0,-0.3126558754516514,-0.24983965202779607,-0.8789711420739683,-0.18647536029580944,-0.5263775097085122
predkosc_wiatru,-0.2556519842083832,0.22559118908153364,-0.3126558754516514,1.0,-0.046902405279694706,0.11845842086752356,-0.14924094344141445,0.12385424855222832
kierunek_wiatru,0.33152878002932934,0.10309298690597667,-0.24983965202779607,-0.046902405279694706,1.0,0.17998457772553456,0.21857639538292115,-0.3786985077565502
wilgotnosc_wzgledna,-0.11890140681078322,0.07564478368999016,-0.8789711420739683,0.11845842086752356,0.17998457772553456,1.0,0.1320544969299677,0.44800798020045945
suma_opadu,-0.1152654631906847,0.03017332114081438,-0.18647536029580944,-0.14924094344141445,0.21857639538292115,0.1320544969299677,1.0,0.24416027506814986
cisnienie,-0.6005969111869225,-0.2575856928135009,-0.5263775097085122,0.12385424855222832,-0.3786985077565502,0.44800798020045945,0.24416027506814986,1.0
